"image","exec_id","operation","timestamp","packet_size_bytes","service_owner","img_size_mb"
"fedora32",22,"SHELVE",286,414795,"neutron",289
"fedora32",22,"SHELVE",287,815798,"designate",289
"fedora32",22,"SHELVE",288,353263,NA,289
"fedora32",22,"SHELVE",289,470508,"designate",289
"fedora32",22,"SHELVE",290,274772,NA,289
"fedora32",22,"SHELVE",291,618901,"designate",289
"fedora32",22,"SHELVE",292,239398,NA,289
"fedora32",22,"SHELVE",293,436381,NA,289
"fedora32",22,"SHELVE",294,257535,"nova",289
"fedora32",22,"SHELVE",295,388448,"manila",289
"fedora32",22,"SHELVE",296,262290,"designate",289
"fedora32",22,"SHELVE",297,355004,"glance",289
"fedora32",22,"SHELVE",298,267517,NA,289
"fedora32",22,"SHELVE",299,256240,"designate",289
"fedora32",22,"SHELVE",300,698865,NA,289
"fedora32",22,"SHELVE",301,219727,"designate",289
"fedora32",22,"SHELVE",302,317515,NA,289
"fedora32",22,"SHELVE",303,26921,"designate",289
"fedora32",22,"SHELVE",304,180448,"neutron",289
"fedora32",22,"SHELVE",305,225339,NA,289
"fedora32",22,"SHELVE",306,372061,"designate",289
"fedora32",22,"SHELVE",307,312967,NA,289
"fedora32",22,"SHELVE",308,263561,NA,289
"fedora32",22,"SHELVE",309,457782,NA,289
"fedora32",22,"SHELVE",310,275519,NA,289
"fedora32",22,"SHELVE",311,599659,"designate",289
"fedora32",22,"SHELVE",312,268541,NA,289
"fedora32",22,"SHELVE",313,418890,"nova",289
"fedora32",22,"SHELVE",314,12030305,"designate",289
"fedora32",22,"SHELVE",315,117925728,"glance",289
"fedora32",22,"SHELVE",316,112963653,"glance",289
"fedora32",22,"SHELVE",317,110432127,"glance",289
"fedora32",22,"SHELVE",318,106549111,"glance",289
"fedora32",22,"SHELVE",319,117658500,"glance",289
"fedora32",22,"SHELVE",320,114438427,"glance",289
"fedora32",22,"SHELVE",321,119703316,"glance",289
"fedora32",22,"SHELVE",322,29428881,"glance",289
"fedora32",22,"SHELVE",323,722568,"neutron",289
"fedora32",22,"SHELVE",324,555328,"designate",289
"fedora32",22,"STOP",219,7894,NA,289
"fedora32",22,"STOP",220,514405,"designate",289
"fedora32",22,"STOP",221,596157,"designate",289
"fedora32",22,"STOP",222,268814,NA,289
"fedora32",22,"STOP",223,555501,"designate",289
"fedora32",22,"STOP",224,260730,"designate",289
"fedora32",22,"STOP",225,57038,NA,289
"fedora32",22,"SUSPEND",87,14694,"nova",289
"fedora32",22,"SUSPEND",88,344905,NA,289
"fedora32",22,"SUSPEND",89,703906,"designate",289
"fedora32",22,"SUSPEND",90,455946,NA,289
"fedora32",22,"SUSPEND",91,703907,"designate",289
"fedora32",22,"SUSPEND",92,333907,"designate",289
"fedora32",22,"SUSPEND",93,547676,"designate",289
"fedora32",22,"SUSPEND",94,255742,NA,289
"fedora32",22,"SUSPEND",95,238905,NA,289
"fedora32",23,"CREATE",1,103338,NA,289
"fedora32",23,"CREATE",2,219653,"designate",289
"fedora32",23,"CREATE",3,624351,NA,289
